original,generated,
the bike has a clock as a tire,the clock has a clock has a clock on it,"50.4,"
a bicycle figurine in which the front wheel is replaced with a clock,a man in the bathroom with a clock is in front of a building,"61.24,"
a black honda motorcycle parked in front of a garage,a black and a bike in front of a clock,"58.54,"
a black honda motorcycle with a dark burgundy seat,a black and white photo with a bike in a park,"53.45,"
a honda motorcycle parked in a grass driveway,a large clock is in a park area,"26.73,"
ma motorcycle parked on the gravel in front of a garage,a clock on the sidewalk of a bike in front of a building,"16.67,"
a room with blue walls and a white sink and door,a bathroom with a sink and white sink and a sink,"54.77,"
this is a blue and white bathroom with a wall sink and a lifesaver on the wall,this is a white bathroom with a toilet and a toilet and a mirror,"67.84,"
blue and white color scheme in a small bathroom,a white and white bathroom with a sink in a sink,"56.69,"
a blue boat themed bathroom with a life preserver on the wall,a large bathroom with a clock on the floor,"51.03,"
a car that seems to be parked illegally behind a legally parked car,a clock that has a clock parked to the side of a bike,"47.81,"
city street with parked cars and a bench,a city street with a clock and a bike,"29.81,"
two cars parked on the sidewalk on the street,two men on the street on the street with a clock,"61.72,"
cars try to maneuver into parking spaces along a densely packed city street,a man parked to a bike at a city street with a bike in the background,"76.27,"
a large passenger airplane flying through the air,a large large blue flying through the air,"23.15,"
an airplane that is  either  landing or just taking off,an old man that is holding a teddy bear,"75.59,"
there is a gol plane taking off in a partly cloudy sky,there is a large clock in a blue sky above a city,"33.54,"
an red and white airplane is in the cloudy sky,an old white and white photo in the bathroom,"42.16,"
a bathroom with a toilet  sink  and shower,a bathroom with a toilet and a sink sink,"57.21,"
a little bathrood decorated with many colorful objects,a small white table with two bears in it,"86.6,"
a full bathroom with a wicker laundry basket,a bathroom with a toilet sink in a bathroom,"13.36,"
a small bathroom containing a toilet and sink,a small bathroom with a sink and a sink,"43.3,"
a long empty  minimal modern skylit home kitchen,a large kitchen with a sink and some,"72.17,"
a narrow kitchen ending with a chrome refrigerator,a kitchen kitchen with a sink and a sink,"15.43,"
a picture of a modern looking kitchen area,a picture of a kitchen with a mirror,"38.73,"
a narrow kitchen is decorated in shades of white  gray  and black,a kitchen is in a kitchen with a white and white cabinets,"54.77,"
an office cubicle with four different types of computers,an old kitchen with a sink of it,"58.54,"
an office with desk computer and chair and laptop,an office with a desk and a computer computer,"37.8,"
the home office space seems to be very cluttered,the man is ready to be to be on the street,"80.4,"
office setting with a lot of computer screens,a bathroom with a pair of it,"48.51,"
a bathroom sink with toiletries on the counter,a bathroom with a sink sink on the counter,"33.81,"
a messy bathroom countertop perched atop black cabinetry,a bathroom with a teddy bear sitting on the floor,"88.19,"
a bathroom sink and various personal hygiene items,a bathroom and a bathroom sink and sink,"13.36,"
a bathroom vanity with cabinets and basin sink and several grooming products scattered across it,a bathroom with a toilet and a sink and a sink with a sink in it,"65.47,"
a small closed toilet in a cramped space,a small small clock in a bathroom with a sink,"60.01,"
this is an advanced toilet with a sink and control panel,this is an image of a bathroom with a sink and a sink,"40.82,"
a tan toilet and sink combination in a small room,a bathroom and a sink in a bathroom with a sink and a sink,"63.9,"
a close up picture of a toilet with a fountain,a close up of a bathroom with a clock in a mirror,"48.67,"
two women waiting at a bench next to a street,two men at a bench next to a man in a city,"53.45,"
a woman sitting on a bench in the middle of the city,a woman sitting on a bench in the middle of the street,"58.93,"
a woman sitting on a bench and a woman standing waiting for the bus,a woman sitting on a bench and a woman standing in the middle of a woman,"91.67,"
a woman sitting on a bench and a woman standing behind the bench at a bus stop,a woman sitting on a bench and a woman standing in the street with a racket and a man,"78.45,"
this is an open box containing four cucumbers,this is an old kitchen in the kitchen,"68.6,"
a small box filled with four green vegetables,a small small kitchen with a sink and a sink,"33.54,"
an open food container box with four unknown food items,an open kitchen with food and food in a kitchen,"34.19,"
an opened box of four chocolate bananas,an image of a woman that is sitting in a kitchen,"56.04,"
an old fashioned green station wagon is parked on a shady driveway,an old old is parked on a bike near a bike,"25.2,"
a classic car sitting beside the road with a surfboard on top,a large clock sitting on the side of a street with a clock,"50.17,"
an old teal colored car parked on the street,an old old photo of a clock on the street,"36.51,"
an old green car parked on the side of the street,an old clock tower on the side of the street,"60.3,"
a gas stove next to a stainless steel kitchen sink and countertop,a kitchen is next to a kitchen with a sink and sink,"80.06,"
a kitchen with a stove  sink  and drying area,a kitchen with a sink and a kitchen counter,"61.39,"
a kitchen stove  sink  and counter with stuff on it,a kitchen with a stove and a table with a table,"66.82,"
this is a kitchen with dishes and a silver sink,this is a kitchen with a sink and a counter,"50.25,"
several motorcycles riding down the road in formation,several people riding down in the street,"80.18,"
a group of people are riding motorcycles on a road through a town,a group of people riding a bike on a beach with a clock in the background,"66.82,"
a group of motorcycle riders driving past buildings,a group of people flying a large city,"45.64,"
a group of motorcyclists are driving down the city street,a group of men are down the street,"30.86,"
a black cat is inside a white toilet,a black cat is laying on a white floor,"75.59,"
a cat drinking water from a toilet in a bathroom,a cat laying of a bed in a bathroom,"61.72,"
a black cat drinking water from a toilet,a black cat looking at a laptop,"46.29,"
a cat puts her head inside of a toilet,a cat cat laying of a clock in a kitchen,"36.51,"
a man in a wheelchair and another sitting on a bench that is overlooking the water,a man in a suit and a dog sitting on a bench while holding a bike,"37.8,"
two older people sitting down in front of a beach,two people sitting down in front of a train,"50.17,"
two people sitting on dock looking at the ocean,two people sitting on a bench looking at the camera,"82.5,"
an old couple at the beach during the day,an old photo of a person at the beach,"77.78,"
a man sits with a traditionally decorated cow,a man with a red dog on a table,"63.96,"
a man sits next to his horse in an alley in costume,a man sits in front of a white bench next to an umbrella,"33.33,"
a decorative man sits on the ground with a cow,a man sits on the side of a small bathroom,"58.54,"
guy and cow are sitting on the floor,a group of people sitting on a table,"50.0,"
rows of motor bikes and helmets in a city,a group of men and a person in a kitchen,"28.87,"
large set of motorcycles all lined up down a street,a group of men that are standing up a bike,"40.09,"
a lot of motorbikes line up down a busy street,a picture of a person sitting down a street,"23.57,"
a large group of motorcycles lined up on the street,a large group of people walking up on the street,"43.3,"
a cute kitten is sitting in a dish on a table,a man sitting in a kitchen with a fork on a plate,"77.78,"
a small kitten is sitting in a bowl,a small is sitting in a kitchen,"37.5,"
a small white cat on a large bowl,a small white cat on a white floor,"73.03,"
a cat is curled up in a bowl,a cat is sitting in a bathroom,"72.17,"
a man getting a drink from a water fountain that is a toilet,a man eating a meal from a bike at a restaurant,"54.77,"
a young man drinking from a water fountain in the shape of a toilet,a young man looking at a small in a room,"25.2,"
a boy drinking water from a toilet water fountain,a boy looking at a water near a water,"34.19,"
a young person has his face close to the toilet bowl,a young man is preparing to his his face,"58.93,"
a beautiful dessert waiting to be shared by two people,a couple of scissors next to each other and a person,"50.0,"
creamy cheesecake dessert with whip cream and caramel,a bathroom with a sink and a sink,"11.11,"
there is a piece of cake on a plate with decorations on it,there is a plate of food on a plate with a plate on it,"26.73,"
an extravagant dessert on a plate overlooking the water,an image of a dog on a desk with a window,"76.35,"
a person holding a skateboard overlooks a dead field of crops,a person holding a bat in a field of a field,"25.0,"
a person holding a skate board sitting in an empty open field,a person holding a large teddy bear sitting in an open,"58.93,"
a person sits on a patch of grass observing the scenery,a person on a white bench with a teddy bear,"63.25,"
a child with a skateboard sitting on the grass and looking at an empty field,a man sitting on a bench with an open bear in the grass,"25.2,"
a bathroom with a sink and shower curtain with a map print,a bathroom with a toilet and a sink and a sink in the kitchen,"50.17,"
a small bathroom with a shower curtain with the nyc subway map on it,a small bathroom with a sink and the top of a kitchen with the counter,"56.41,"
a small and crowded bathroom with little furnishing,a small bathroom with a small and white sink,"53.45,"
a bathroom with a map as a shower curtain,a bathroom with a toilet in a bathroom,"62.99,"
a random plane in the sky flying alone,a large clock in a kitchen with many sky,"46.29,"
a silver color jet flying through the clear sky,a large kitchen through the air is in the air,"28.57,"
an airplane flying high in the blue sky,an old blue in a blue sky,"29.42,"
an airplane with the letters 'mt' on it  flying in the sky,an old with a clock on the top of the water,"62.5,"
a brown and black horse in the middle of the city eating grass,a black and white photo of the side in the grass of a man,"54.01,"
two horses standing in a field across the street from a building,two men standing in a bathroom in a city street,"66.82,"
two horses eating grass near a parking lot,two men standing near a large tree,"50.0,"
two mules eating grass in a parking lot in front of a hotel,two men in a kitchen with a lot of flowers in front of a building,"30.86,"
a brown purse is sitting on a green bench,a large white is sitting on a bench bench,"62.4,"
a woman's purse sitting on a park bench,a large girl sitting on a bench in front of a building,"62.99,"
a brown purse abandoned on a green bench,a large white cat on a bench with a bike,"40.82,"
a leather purse laying on it's side on a green metal bench,a stuffed cat laying on a bench on top of a white bench,"30.86,"
half of a white cake with coconuts on top,a white of a red with a white top on top of a counter,"54.01,"
a half eaten dessert cake sitting on a cake plate,a red plate with a fork and a fork on a plate,"70.71,"
the coconut cake on a red plate is half gone,the plate on a plate with a fork on a plate,"27.39,"
a half eaten cake with coconut shavings and creme filling,a woman with a red and a cat is standing next to a window,"50.0,"
